delikt;straftaten;"aufgklaerte_strafdaten
";aufklaerungsrate;kategorie_straftat;tot_beschul_personen;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70+;s.n.;mann;frau;divers;o.A.
Phishing; 1 210 ;  90 ;7.40%;Cyber Wirtschaftskriminalität;  61 ;0;0;  3 ;  1 ;  6 ;  6 ;  7 ;  2 ;  19 ;  6 ;  3 ;0;0;  44 ;  9 ;  8 ;0
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem;  324 ;  16 ;4.90%;Cyber Wirtschaftskriminalität;  12 ;0;0;0;0;  1 ;  1 ;  1 ;  1 ;  2 ;  4 ;  1 ;0;0;  8 ;  3 ;  1 ;0
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten;  653 ;  93 ;14.20%;Cyber Wirtschaftskriminalität;  68 ;0;  3 ;  2 ;  2 ;  4 ;  8 ;  11 ;  11 ;  13 ;  9 ;  3 ;  1 ;0;  47 ;  20 ;  1 ;0
Malware – Ransomware;  340 ;  3 ;0.90%;Cyber Wirtschaftskriminalität;  3 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Malware – E-Banking Trojaner;  82 ;  10 ;12.20%;Cyber Wirtschaftskriminalität;  10 ;0;0;0;0;0;  3 ;0;  1 ;  1 ;  2 ;0;0;  3 ;  5 ;  5 ;0;0
Malware – Spyware;  25 ;  2 ;8.00%;Cyber Wirtschaftskriminalität;  2 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Malware – Rogueware/Scareware;  61 ;  2 ;3.30%;Cyber Wirtschaftskriminalität;  1 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Malware – Botnet;  13 ;0;0.00%;Cyber Wirtschaftskriminalität;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DDoS;  32 ;0;0.00%;Cyber Wirtschaftskriminalität;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyberbetrug; 20 691 ; 6 468 ;31.30%;Cyber Wirtschaftskriminalität; 2 648 ;0;  46 ;  143 ;  108 ;  358 ;  311 ;  329 ;  256 ;  346 ;  263 ;  114 ;  58 ;  24 ; 1 601 ;  754 ;  292 ;  1 
Money/Package Mules; 2 113 ; 1 217 ;57.60%;Cyber Wirtschaftskriminalität;  882 ;0;  1 ;  14 ;  27 ;  93 ;  93 ;  88 ;  73 ;  150 ;  154 ;  91 ;  52 ;  2 ;  536 ;  302 ;  44 ;0
Sextortion (money); 1 031 ;  38 ;3.70%;Cyber Wirtschaftskriminalität;  41 ;0;  3 ;  1 ;  3 ;  5 ;  7 ;  6 ;  4 ;  5 ;  6 ;  1 ;0;0;  28 ;  13 ;0;0
Diebstahl von Kryptowährungen;  96 ;  1 ;1.00%;Cyber Wirtschaftskriminalität;  1 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Verbotene Pornografie; 2 243 ; 2 150 ;95.90%;Cyber Sexualdelikte; 1 690 ;  14 ;  353 ;  300 ;  108 ;  180 ;  135 ;  125 ;  106 ;  154 ;  135 ;  60 ;  20 ;0; 1 516 ;  174 ;0;0
Grooming;  141 ;  120 ;85.10%;Cyber Sexualdelikte;  83 ;0;  19 ;  9 ;  5 ;  10 ;  10 ;  3 ;  5 ;  11 ;  8 ;  3 ;0;0;  75 ;  8 ;0;0
Sextortion (sex);  153 ;  86 ;56.20%;Cyber Sexualdelikte;  43 ;0;  11 ;  12 ;  7 ;  7 ;  1 ;0;0;0;  4 ;0;  1 ;0;  38 ;  5 ;0;0
Live Streaming;  35 ;  34 ;97.10%;Cyber Sexualdelikte;  19 ;0;  3 ;  3 ;0;  3 ;  1 ;  1 ;  3 ;  1 ;  4 ;0;0;0;  18 ;  1 ;0;0
Cybersquatting;  37 ;  1 ;2.70%;Cyber Rufschädigung und unlauteres Verhalten;  1 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Cyber-Rufschädigung (Geschäftlich);  107 ;  76 ;71.00%;Cyber Rufschädigung und unlauteres Verhalten;  79 ;0;  1 ;0;  2 ;  6 ;  13 ;  7 ;  6 ;  15 ;  20 ;  5 ;  3 ;0;  46 ;  32 ;  1 ;0
Cyberbullying/Cybermobbing;  959 ;  642 ;66.90%;Cyber Rufschädigung und unlauteres Verhalten;  492 ;0;  37 ;  28 ;  20 ;  35 ;  52 ;  54 ;  51 ;  98 ;  67 ;  39 ;  10 ;  1 ;  324 ;  168 ;0;0
Illegaler Handel im Darknet;  1 ;  1 ;100.00%;Darknet;  1 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Data leaking;  4 ;  1 ;25.00%;Andere;  1 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
