delikt;straftaten;aufgklaerte_strafdaten;aufklaerungsrate;kategorie_straftat;tot_beschul_personen;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70+;s.n.;mann;frau;divers;o.A.
Phishing;2236 ;141 ;6.30%;Cyber Wirtschaftskriminalität;82 ;0;0;2 ;4 ;7 ;13 ;16 ;12 ;10 ;13 ;2 ;2 ;0;60 ;21 ;1 ;0
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem;246 ;27 ;11.00%;Cyber Wirtschaftskriminalität;18 ;0;2 ;0;1 ;2 ;3 ;1 ;1 ;1 ;6 ;1 ;0;0;13 ;5 ;0;0
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten;796 ;108 ;13.60%;Cyber Wirtschaftskriminalität;78 ;0;2 ;7 ;3 ;14 ;16 ;8 ;3 ;14 ;8 ;3 ;0;0;66 ;12 ;0;0
Malware – Ransomware;307 ;4 ;1.30%;Cyber Wirtschaftskriminalität;2 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Malware – E-Banking Trojaner;49 ;3 ;6.10%;Cyber Wirtschaftskriminalität;2 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Malware – Spyware;15 ;3 ;20.00%;Cyber Wirtschaftskriminalität;2 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Malware – Rogueware/Scareware;45 ;0;0.00%;Cyber Wirtschaftskriminalität;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malware – Botnet;17 ;0;0.00%;Cyber Wirtschaftskriminalität;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DDoS;16 ;2 ;12.50%;Cyber Wirtschaftskriminalität;2 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Cyberbetrug;22207 ;6686 ;30.10%;Cyber Wirtschaftskriminalität;2823 ;0;49 ;162 ;155 ;376 ;346 ;334 ;256 ;418 ;292 ;148 ;50 ;26 ;1784 ;823 ;211 ;5 
Money/Package Mules;2045 ;1260 ;61.60%;Cyber Wirtschaftskriminalität;817 ;0;2 ;19 ;41 ;100 ;83 ;84 ;58 ;117 ;149 ;89 ;62 ;8 ;469 ;341 ;5 ;2 
Sextortion (money);1588 ;54 ;3.40%;Cyber Wirtschaftskriminalität;53 ;0;10 ;2 ;7 ;13 ;8 ;4 ;3 ;2 ;2 ;0;1 ;1 ;39 ;12 ;0;2 
Diebstahl von Kryptowährungen;110 ;6 ;5.50%;Cyber Wirtschaftskriminalität;5 ;0;1 ;0;0;0;0;1 ;2 ;0;0;0;1 ;0;4 ;1 ;0;0
Verbotene Pornografie;2594 ;2462 ;94.90%;Cyber Sexualdelikte;1968 ;17 ;405 ;398 ;132 ;201 ;112 ;141 ;101 ;196 ;152 ;71 ;42 ;0;1753 ;215 ;0;0
Grooming;141 ;115 ;81.60%;Cyber Sexualdelikte;80 ;0;14 ;4 ;5 ;12 ;5 ;8 ;2 ;14 ;13 ;2 ;1 ;0;74 ;6 ;0;0
Sextortion (sex);65 ;26 ;40.00%;Cyber Sexualdelikte;13 ;0;0;3 ;2 ;2 ;2 ;1 ;0;2 ;0;1 ;0;0;13 ;0;0;0
Live Streaming;20 ;18 ;90.00%;Cyber Sexualdelikte;12 ;0;3 ;3 ;0;3 ;0;1 ;0;0;1 ;1 ;0;0;12 ;0;0;0
Cybersquatting;71 ;2 ;2.80%;Cyber Rufschädigung und unlauteres Verhalten;2 ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  ;X  
Cyber-Rufschädigung (Geschäftlich);69 ;45 ;65.20%;Cyber Rufschädigung und unlauteres Verhalten;40 ;0;1 ;2 ;1 ;0;2 ;3 ;5 ;11 ;9 ;4 ;1 ;0;28 ;11 ;1 ;0
Cyberbullying/Cybermobbing;707 ;486 ;68.70%;Cyber Rufschädigung und unlauteres Verhalten;360 ;0;42 ;22 ;12 ;30 ;30 ;37 ;49 ;65 ;47 ;20 ;6 ;0;228 ;132 ;0;0
Illegaler Handel im Darknet;0;0;-;Darknet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Data leaking;1 ;0;0.00%;Andere;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
